desktop,Name[zh_TW],GenericName[zh_TW],Comment[zh_TW],Categories
jkiwi.desktop,髮型彩粧_jKiwi,jKiwi 可以讓你輕鬆的對人像照片進行髮型與彩粧模擬設計,髮型彩粧_jKiwi,Graphics;
digikam.desktop,相片管理_digiKam,專業的數位相片和圖片管理軟體,相片管理_digiKam,Graphics;
gwenview.desktop,相片瀏覽_Gwenview,簡易的數位相片和圖片瀏覽軟體,相片瀏覽_Gwenview,Graphics;
f-spot.desktop,相片管理_F-Spot,F-Spot 可以讓你輕鬆的組織及分享你的相片,相片管理_F-Spot,Graphics;
gthumb.desktop,圖片管理_gThumb,簡易的數位相片和圖片管理軟體,圖片管理_gThumb,Graphics;
fotowall.desktop,多圖合併_Fotowall,Fotowall 可以讓你輕鬆的將多張圖片進行各種套用與設計,多圖合併_Fotowall,Graphics;
expoblending.desktop,曝光混合_Expo blending,將曝光影像進行混合,曝光混合_Expo blending,Graphics;
photolayoutseditor.desktop,相片佈局_Photo layouts editor,建立美觀與專業的相片佈局,相片佈局_Photo layouts editor,Graphics;
panoramagui.desktop,全景圖_Panoram,簡單易用的全景圖製作軟體,全景圖_Panoram,Graphics;
hugin.desktop,全景圖_Hugin panorama creator,全景圖合併與編輯軟體，可以將多張照片合併成全景圖及進行美編,全景圖_Hugin panorama creator,Graphics;
PTBatcherGUI.desktop,全景圖_Hugin Batch Processor,全景圖批次處理工具，可以輕易的將多張照片合併成全景圖,全景圖_Hugin Batch Processor,Graphics;
calibrate_lens_gui.desktop,全景圖_Calibrate,全景圖合併與編輯軟體，可以將多張照片合併成全景圖及進行美編,全景圖_Calibrate,Graphics;
ktoon.desktop,2D動畫_KToon,能讓您使用點陣圖創造傳統的動畫,2D動畫_KToon,Graphics;
blender.desktop,3D動畫_Blender,3D 模型建置與動畫設計軟體，媲美時下商業版的 3D 動畫軟體,3D動畫_Blender,Graphics;
sweethome3d.desktop,室內設計_SweetHome3D,室內設計用的3D 模型軟體，不僅專業設計人員可以使用，對一般人而言也是一個極易上手的室內設計工具,室內設計_SweetHome3D,Graphics;
kruler.desktop,螢幕尺規_KRuler,可以直接在螢幕上丈量的螢幕尺規,螢幕尺規_KRuler,Graphics;
scangui.desktop,影像掃描_Scan GUI,使用平台式掃描器擷取影像的工具,影像掃描_Scan GUI,Graphics;
ksnapshot.desktop,影像擷取_KSnapshot,多功能的影像擷取工具，可直接按鍵盤上的〔Print Screen〕鍵執行此功能,影像擷取_KSnapshot,Graphics;
kcolorchooser.desktop,顏色選擇_KColorChooser,用來點選螢幕上的顏色,顏色選擇_KColorChooser,Graphics;
dngconverter.desktop,RAW批次轉檔_dngconverter,批次將 RAW 檔案轉成 DNG 檔案的軟體,RAW批次轉檔_dngconverter,Graphics;
freecad.desktop,3D製圖_FreeCAD,電腦輔助設計軟體,3D製圖_FreeCAD,Graphics;
fritzing.desktop,電路設計_Fritzing,是一套設計PCB (Printed Circuit Board) 印刷電路板的軟體，是特別給設計師、藝術家、研究者以及業餘玩家使用的工具,電路設計_Fritzing,Graphics;
shutter.desktop,影像擷取_Shutter,可截取網頁和編輯截取圖片的軟體,影像擷取_Shutter,Graphics;
#影音,,,,
qstopmotion.desktop,影片動畫_qStopMotion,影片動畫製作軟體,影片動畫_qStopMotion,AudioVideo;
avidemux2.6-qt.desktop,影片編輯_Avidemux(Qt),影片編輯程式,影片編輯_Avidemux(Qt),AudioVideo;
avidemux2.6-jobs.desktop,影片編輯_Avidemux(Jobs),影片編輯程式,影片編輯_Avidemux(Jobs),AudioVideo;
avidemux2.6-gtk.desktop,影片編輯_Avidemux(Gtk),影片編輯程式,影片編輯_Avidemux(Gtk),AudioVideo;
ffDiaporama.desktop,投影片秀_ffDiaporama,投影片、圖片與影片展示軟體,投影片秀_ffDiaporama,AudioVideo;
xbmc.desktop,多媒體中心_XBMC,一套超炫的多媒體播放中心，不論圖片影片皆可播放,多媒體中心_XBMC,AudioVideo;
vlc.desktop,影音播放_VLC,可以用於網路串流及各種多媒體檔案之播放,影音播放_VLC,AudioVideo;
smplayer.desktop,影音播放_SMPlayer,以 MPlayer 為基礎的多媒體播放器，具完整的使用者介面,影音播放_SMPlayer,AudioVideo;
umplayer.desktop,影音播放_UMPlayer,以 MPlayer 為基礎的多媒體播放器，具完整的使用者介面,影音播放_UMPlayer,AudioVideo;
dragonplayer.desktop,影音播放_DragonPlayer,可以用於網路串流及各種多媒體檔案之播放,影音播放_DragonPlayer,AudioVideo;
totem.desktop,影音播放_Totem,可以用於網路串流及各種多媒體檔案之播放,影音播放_Totem,AudioVideo;
xine.desktop,影音播放_xine,影音播放軟體,影音播放_xine,AudioVideo;
Kino.desktop,影片編輯_Kino,簡單易用的影片編輯軟體,影片編輯_Kino,AudioVideo;
pitivi.desktop,影片編輯_Pitivi,簡單易用的影片編輯軟體,影片編輯_Pitivi,AudioVideo;
openshot.desktop,影片編輯_OpenShot,OpenShot 是 Linux 下常用的非線性影片剪輯軟體,影片編輯_OpenShot,AudioVideo;
kdenlive.desktop,影片編輯_Kdenlive,Kdenlive 是 Linux 下非常專業完整的非線性影片編輯軟體,影片編輯_Kdenlive,AudioVideo;
kazam.desktop,桌面錄製_Kazam,一款簡易的桌面畫面錄製工具,桌面錄製_Kazam,AudioVideo;
cheese.desktop,視訊擷取_Cheese,透過 Cheese 可以從網路攝影機擷取相片與影片，並加入有趣的影像特效,視訊擷取_Cheese,AudioVideo;
guvcview.desktop,影像擷取_guvcview,webcam管理程式,影像擷取_guvcview,AudioVideo;
imagination.desktop,投影片秀_Imagination,Imagination 可以將相片或圖片輕易的轉成具豐富轉場效果的多媒體投影片秀 ,投影片秀_Imagination,AudioVideo;
photofilmstrip.desktop,投影片秀_Photo Film Strip,讓你輕鬆製作出圖片跑馬燈及多媒體投影片秀的軟體,投影片秀_Photo Film Strip,AudioVideo;
k3b.desktop,光碟燒錄_K3b,Linux 下常用的光碟燒錄工具 ,光碟燒錄_K3b,AudioVideo;
brasero.desktop,光碟燒錄_Brasero,Linux 下常用的光碟燒錄工具,光碟燒錄_Brasero,AudioVideo;
acidrip.desktop,光碟擷取_AcidRip,AcidRip 可以輕易的將一般的影片轉成 avi 或 mpeg 檔,光碟擷取_AcidRip,AudioVideo;
dvdstyler.desktop,光碟製作_DVDstyler,DVD 光碟及選單製作工具,光碟製作_DVDstyler,AudioVideo;
dvdisaster.desktop,光碟修復_dvdisaster,對於刮傷或老化的光碟，提供了更好的存取與修復效果,光碟修復_dvdisaster,AudioVideo;
audacious.desktop,音樂播放_Audacious,類似 Winamp 的音樂播放器,音樂播放_Audacious,AudioVideo;
amarok.desktop,音樂播放_Amarok,Amarok 一套功能強大的音樂播放與專輯管理軟體,音樂播放_Amarok,AudioVideo;
rhythmbox.desktop,音樂播放_Rhythmbox,播放及管理音樂庫,音樂播放_Rhythmbox,AudioVideo;
audacity.desktop,音樂編輯_Audacity,Audacity 是一套功能相當完整的音訊編輯軟體，具有剪輯、複製、混音等多項音訊編輯功能,音樂編輯_Audacity,AudioVideo;
tuxguitar.desktop,音樂製作_Tuxguitar,可以輸入 Midi 格式及吉他譜檔，並且還可輸出多種音樂格式，以及 PDF 格式的樂譜,音樂製作_Tuxguitar,AudioVideo;
hydrogen.desktop,節奏編曲_Hydrogen,非常容易上手的爵士電子鼓節奏編曲軟體,節奏編曲_Hydrogen,AudioVideo;
mscore.desktop,樂譜編輯_MuseScore,專業的五線譜編輯軟體，可以讓你輕鬆地在軟體內加入音符，並且做即時的結果輸出,樂譜編輯_MuseScore,AudioVideo;
rosegarden.desktop,音樂製作_Rosegarden,功能非常強大的專業級音樂製作軟體,音樂製作_Rosegarden,AudioVideo;
winff.desktop,影音轉檔_Win_FF,多種格式的影音轉檔工具,影音轉檔_Win_FF,AudioVideo;
kmix.desktop,音效調整_KMix,多功能的音效調整工具,音效調整_KMix,AudioVideo;
qjackctl.desktop,音訊控制_QjackCtl,音訊控制與連結服務工具,音訊控制_QjackCtl,AudioVideo;
ardour.desktop,音訊整合_Ardour GTK2,功能全面的數位音訊整合工具,音訊整合_Ardour GTK2,AudioVideo;
gnome-sound-recorder.desktop,聲音錄製_gnome-sound-recorder,簡易的聲音錄製軟體,聲音錄製_gnome-sound-recorder,AudioVideo;
xvidcap.desktop,影音錄製_XVidCap,可將螢幕上的操作畫面及聲音同步錄製,影音錄製_XVidCap,AudioVideo;
sound-juicer.desktop,音樂擷取_sound-juicer,可以從音樂光碟中擷取音樂的小工具,音樂擷取_sound-juicer,AudioVideo;
qdvdauthor.desktop,光碟製作_QDVDAuthor,DVD 光碟及選單製作工具 ,光碟製作_QDVDAuthor,AudioVideo;
devede.desktop,影音轉檔_DeVeDe,能將任何格式的影片轉為 DVD 影片,影音轉檔_DeVeDe,AudioVideo;
oggconvert.desktop,影音轉檔_OggConvert,小巧實用的多媒體影音轉換工具,影音轉檔_OggConvert,AudioVideo;
furiusisomount.desktop,虛擬光碟_Furius ISO Mount,簡單好用的光碟映像檔掛載工具 ,虛擬光碟_Furius ISO Mount,AudioVideo;
#網路,,,,
nixnote.desktop,筆記本_Nixnote,EverNote 的 Linux 客戶端軟體,筆記本_Nixnote,Network;
exe.desktop,網頁設計_eXe,輔助老師們編寫網路課程的軟體,網頁設計_eXe,Network;
quassel.desktop,IRC 通訊_Quassel,KDE 裡的 IRC 客戶端程式,IRC 通訊_Quassel,Network;
firefox.desktop,網頁瀏覽_Firefox,提供更有效率、更安全、更個人化的瀏覽體驗 ,網頁瀏覽_Firefox,Network;
chromium-browser.desktop,網頁瀏覽_Chromium,由 Google 開發的網頁瀏覽器,網頁瀏覽_Chromium,Network;
konqbrowser.desktop,網頁瀏覽_Konqueror,可以當檔案總管以及網頁瀏覽器的軟體,網頁瀏覽_Konqueror,Network;
pcmanx.desktop,BBS連線_PCMan X BBS ,常用的 BBS 連線軟體,BBS連線_PCMan X BBS ,Network;
BlueGriffon-program.desktop,網頁設計_BlueGriffon,讓您可以快速編輯簡單的HTML或動態HTML網頁 ,網頁設計_BlueGriffon,Network;
kompozer.desktop,網頁設計_KompoZer,讓您可以快速編輯簡單的HTML或動態HTML網頁 ,網頁設計_KompoZer,Network;
dropbox.desktop,雲端服務_Dropbox,可以讓你在不同電腦及行動載具間同步檔案進度的雲端軟體,雲端服務_Dropbox,Network;
akregator.desktop,RSS閱讀器_Akregator,方便實用的 RSS 閱讀器,RSS閱讀器_Akregator,Network;
ktorrent.desktop,BT下載_Ktorrent,可透過 BitTorrent 協定來下載和分享檔案 ,BT下載_Ktorrent,Network;
filezilla.desktop,檔案傳輸_FileZilla,Linux 下常用的 FTP 檔案傳輸工具 ,檔案傳輸_FileZilla,Network;
pidgin.desktop,即時通訊_Pidgin,讓您可以透過即時通訊與好友聊天，支援 AIM、Google Talk、Jabber/XMPP、MSN、Yahoo 等,即時通訊_Pidgin,Network;
kopete.desktop,即時通訊_Kopete,即時訊息客戶端程式,即時通訊_Kopete,Network;
emesene.desktop,即時通訊_Emesene,一套適用於 Windows Live Messenge 的即時通訊軟體 ,即時通訊_Emesene,Network;
ekiga.desktop,網路電話_Ekiga,Linux 下常用的網路電話軟體,網路電話_Ekiga,Network;
Kppp.desktop,網路連線_KPPP,數據機和網路撥號程式,網路連線_KPPP,Network;
bluedevil-monolithic.desktop,藍芽連線_BlueDevil,KDE 內建的藍芽傳輸軟體,藍芽連線_BlueDevil,Network;
extras-nitroshare.desktop,連線分享_Nitroshare,跨平台區域網路檔案分享軟體,連線分享_Nitroshare,Network;
remmina.desktop,遠端連線_Remmina,遠端桌面的連線軟體，功能類似 TeamViewer,遠端連線_Remmina,Network;
skype.desktop,免費軟體_Skype,知名的網路語音通話軟體,免費軟體_Skype,Network;
evolution.desktop,郵件管理_Evolution,集合電子郵件，行事曆與工作排程等功能的郵件管理軟體,郵件管理_Evolution,Network;
gftp.desktop,檔案傳輸_gFTP,FTP檔案傳輸軟體 ,檔案傳輸_gFTP,Network;
meiga.desktop,檔案分享_Meiga,透過 Meiga 可以輕易做到類似網路上的芳鄰來分享檔案,檔案分享_Meiga,Network;
pppoeconf.desktop,網路連線_pppoeconf,連線設定工具,網路連線_pppoeconf,Network;
miro.desktop,網路電視_Miro,Miro 是一套內含 Mozilla 瀏覽器及VLC 播放軟體的跨平台影音播放軟體,網路電視_Miro,Network;
iptux.desktop,區域分享_iptux,區域網際網路通訊工具,區域分享_iptux,Network;
wireshark.desktop,分析程式_Wireshark,抓網路封包必備的工具軟體,分析程式_Wireshark,Network;
transmission.desktop,Bt下載_Transmission,可透過 BitTorrent 協定來下載和分享檔案 ,Bt下載_Transmission,Network;
tsclient.desktop,終端伺服器客戶端,遠端連線程式,終端伺服器客戶端,Network;
#,免費軟體_TeamViewer,一個方便好用的遠端電腦連線軟體,免費軟體_TeamViewer,Network;
#遊戲,,,,
picmi.desktop,邏輯遊戲_Picmi,訓練邏輯能力的小遊戲,邏輯遊戲_Picmi,Game;
granatier.desktop,炸彈超人_Granatier,類似炸彈超人的遊戲,炸彈超人_Granatier,Game;
tuxtype.desktop,打字遊戲_Tux Typing,適合小朋友及電腦初學者練習打字的遊戲軟體,打字遊戲_Tux Typing,Game;
tuxmath.desktop,數學遊戲_TuxMath,練習數學加減乘除的遊戲,數學遊戲_TuxMath,Game;
ksudoku.desktop,數獨遊戲_KSudoku,數獨遊戲,數獨遊戲_KSudoku,Game;
gnome-sudoku.desktop,數獨遊戲_gnome-sudoku,透過數字格子題目來訓練邏輯能力的遊戲,數獨遊戲_gnome-sudoku,Game;
pingus.desktop,企鵝歷險_Pingus,拯救題目要求的企鵝數量即可過關，是訓練邏輯思考的遊戲,企鵝歷險_Pingus,Game;
supertux2.desktop,超級企鵝_SuperTux,類似瑪琍歐的闖關遊戲,超級企鵝_SuperTux,Game;
supertuxkart.desktop,賽車遊戲_Supertuxkart,3D賽車遊戲,賽車遊戲_Supertuxkart,Game;
kapman.desktop,小精靈_Kapman,吃掉所有的豆子，並設法逃避小精靈的追捕，你就可以過關囉！,小精靈_Kapman,Game;
KGoldrunner.desktop,闖關遊戲_KGoldrunner ,尋找金塊，躲避敵人，並解謎，就可以成功闖關！,闖關遊戲_KGoldrunner ,Game;
frozen-bubble.desktop,泡泡龍_Frozen-Bubble,射完所有泡泡即可過關，是練習思考及反應力的遊戲,泡泡龍_Frozen-Bubble,Game;
klickety.desktop,棋盤遊戲_Klickety,棋盤遊戲,棋盤遊戲_Klickety,Game;
kdiamond.desktop,寶石方塊_KDiamond ,把三個相同的寶石連成一線即可得分,寶石方塊_KDiamond ,Game;
ksame.desktop,棋盤遊戲_SameGame,棋盤遊戲,棋盤遊戲_SameGame,Game;
kblocks.desktop,俄羅斯方塊_KBlocks,將方塊消除即可得分，是訓練思考及反應力的遊戲,俄羅斯方塊_KBlocks,Game;
palapeli.desktop,拼圖遊戲_Palapeli,拼圖遊戲,拼圖遊戲_Palapeli,Game;
kubrick.desktop,魔術方塊_Kubrick,立體魔術方塊遊戲,魔術方塊_Kubrick,Game;
ksquares.desktop,連線方塊_KSquares,將線連起來組成方塊,連線方塊_KSquares,Game;
knetwalk.desktop,連線大師_KNetWalk,透過不同管線連接的方式傳送電源給電腦的益智小遊戲,連線大師_KNetWalk,Game;
knetwork.desktop,連線大師_knetwork,透過不同管線連接的方式傳送電源給電腦的益智小遊戲,連線大師_knetwork,Game;
klines.desktop,連線遊戲_Kolor Lines,色彩連線益智遊戲,連線遊戲_Kolor Lines,Game;
kmines.desktop,踩地雷_KMines,踩地雷遊戲,踩地雷_KMines,Game;
katomic.desktop,倉庫番_KAtomic,倉庫番式的智力遊戲,倉庫番_KAtomic,Game;
kblackbox.desktop,黑盒子_KBlackBox,黑盒子智力遊戲,黑盒子_KBlackBox,Game;
kbreakout.desktop,打磚塊_KBreakOut,打磚塊遊戲,打磚塊_KBreakOut,Game;
kbounce.desktop,彈力球_KBounce,彈力球遊戲,彈力球_KBounce,Game;
kollision.desktop,躲避球_Kollision,訓練反應的躲避球遊戲,躲避球_Kollision,Game;
kolf.desktop,高爾夫球_Kolf,具有機關及各種打法的高爾夫球，是訓練思考力的運動類遊戲,高爾夫球_Kolf,Game;
kdesnake.desktop,吞食蛇_Ksnake,吞食蛇遊戲,吞食蛇_Ksnake,Game;
ktron.desktop,吞食蛇_KSnakeDuel,進階吞食蛇遊戲,吞食蛇_KSnakeDuel,Game;
kigo.desktop,圍棋_Kigo,圍棋遊戲,圍棋_Kigo,Game;
kreversi.desktop,黑白棋_KReversi,黑白棋棋盤遊戲,黑白棋_KReversi,Game;
kfourinline.desktop,四子棋_KfourInLine,四子棋棋盤遊戲,四子棋_KfourInLine,Game;
kbovo.desktop,五子棋_kbovo,五子棋棋盤遊戲,五子棋_kbovo,Game;
bovo.desktop,五子棋_Bovo,五子棋棋盤遊戲,五子棋_Bovo,Game;
kajongg.desktop,麻將遊戲_Kajongg,傳統四人麻將遊戲,麻將遊戲_Kajongg,Game;
kmahjongg.desktop,麻將遊戲_KMahjongg,訓練記憶配對的上海麻將遊戲,麻將遊戲_KMahjongg,Game;
kshisen.desktop,麻將遊戲_Shisen-Sho,訓練記憶配對的四川省麻將遊戲,麻將遊戲_Shisen-Sho,Game;
kiriki.desktop,骰子遊戲_Kiriki,骰子遊戲,骰子遊戲_Kiriki,Game;
kjumpingcube.desktop,骰子遊戲_KJumpingCube,以骰子為主題的策略遊戲,骰子遊戲_KJumpingCube,Game;
lskat.desktop,紙牌遊戲_LSkat,紙牌遊戲,紙牌遊戲_LSkat,Game;
kpat.desktop,紙牌遊戲_KPatience,單人玩的紙牌遊戲,紙牌遊戲_KPatience,Game;
bomber.desktop,戰鬥機_bomber,戰鬥機遊戲,戰鬥機_bomber,Game;
konquest.desktop,銀河征戰_Konquest,銀河戰略遊戲,銀河征戰_Konquest,Game;
kbattleship.desktop,海上戰爭_kbattleship,擊沉船隻的遊戲,海上戰爭_kbattleship,Game;
kspaceduel.desktop,決戰星空_KSpaceDuel ,以星際戰爭為主題的大型遊戲機遊戲,決戰星空_KSpaceDuel ,Game;
killbots.desktop,征服機器人_Killbots,征服機器人遊戲,征服機器人_Killbots,Game;
ksirk.desktop,征服世界_KsirK,征服世界戰略遊戲,征服世界_KsirK,Game;
ksirkskineditor.desktop,征服世界_KsirK Editor,征服世界戰略遊戲的外觀編輯器,征服世界_KsirK Editor,Game;
gnotski.desktop,華容道_gnotski,透過推箱子到目地的方式來訓練邏輯能力的遊戲,華容道_gnotski,Game;
gnotravex.desktop,數字拼圖_gnotravex,透過簡單拼圖遊戲訓練邏輯思考能力,數字拼圖_gnotravex,Game;
pinball.desktop,彈珠台_Pinball,透過彈珠的彈射來得分，是練習專注力及反應力的遊戲,彈珠台_Pinball,Game;
lbreakout2.desktop,打磚塊_lbreakout2,敲完所有的磚塊即過關，是練習專注力及反應力的遊戲,打磚塊_lbreakout2,Game;
kblocks.desktop,俄羅斯方塊_KBlocks,將方塊消除即可得分，是訓練思考及反應力的遊戲,俄羅斯方塊_KBlocks,Game;
kolf.desktop,高爾夫球_Kolf,具有機關及各種打法的高爾夫球，是訓練思考力的遊戲,高爾夫球_Kolf,Game;
tuxpuck.desktop,桌上冰球_Tuxpuck,類似冰上曲棍球，是訓練反應力的遊戲,桌上冰球_Tuxpuck,Game;
glchess.desktop,國際象棋_glchess,國際象棋，支持多種引擎，並且具有2D、3D外觀支持。,國際象棋_glchess,Game;
mahjongg.desktop,上海麻將_mahjongg,將不斷掉落的各形狀方塊拼合在一起，是訓練思考及觀察力的遊戲,上海麻將_mahjongg,Game;
gnomine.desktop,踩地雷_gnomine,清除方格陣中隱藏的地雷即過關，是訓練邏輯計算力的遊戲,踩地雷_gnomine,Game;
sol.desktop,接龍遊戲_AisleRiot ,不同類型的接龍遊戲，是訓練思考及觀察力的遊戲,接龍遊戲_AisleRiot ,Game;
#教育,,,,
R.desktop,統計_R,一套統計領域相當出名的軟體,統計_R,Education;
rkward.desktop,統計_RKward,R 的 KDE 前端介面,統計_RKward,Education;
gnumeric.desktop,統計_Gnumeric,統計軟體,統計_Gnumeric,Education;
gcompris.desktop,幼教_GCompris,一套適合二到十歲的教育遊戲，內含電腦、數學、語言等類別,幼教_GCompris,Education;
gcompris-edit.desktop,幼教_GCompris Edit,Gcompris 管理器,幼教_GCompris Edit,Education;
ktouch.desktop,打字練習_KTouch,適合小朋友及電腦初學者練習打字的軟體,打字練習_KTouch,Education;
klavaro.desktop,打字練習_Klavaro,適合小朋友及電腦初學者練習打字的軟體,打字練習_Klavaro,Education;
ktuberling.desktop,馬鈴薯小子_Ktuberling,一款為小朋友設計的語言學習遊戲,馬鈴薯小子_Ktuberling,Education;
anki.desktop,閃示卡記憶_Anki,可插入影音的快閃式字卡練習軟體,閃示卡記憶_Anki,Education;
parley.desktop,語言_Parley,英文字彙訓練的軟體,語言_Parley,Education;
klettres.desktop,語言_KLettres,字母與發音學習程式,語言_KLettres,Education;
kwordquiz.desktop,語言_KWordQuiz,可利用閃卡學習單字的軟體,語言_KWordQuiz,Education;
kanagram.desktop,語言_Kanagram,字母排序遊戲,語言_Kanagram,Education;
khangman.desktop,語言_KHangMan,單字記憶遊戲,語言_KHangMan,Education;
step.desktop,物理_Step,物理模擬軟體,物理_Step,Education;
OpticalRayTracer.desktop,物理光學_OpticalRayTracer,物理光學軟體,物理光學_OpticalRayTracer,Education;
marble.desktop,地理_Marble,學習地理、地圖瀏覽的軟體,地理_Marble,Education;
kgeography.desktop,地理_KGeography,學習地理、地圖瀏覽的軟體,地理_KGeography,Education;
